timestamp,emotion
2025-07-01 19:37:10,neutral
2025-07-01 19:37:11,neutral
2025-07-01 19:37:11,neutral
2025-07-01 19:37:11,neutral
2025-07-01 19:37:12,neutral
2025-07-01 19:37:12,neutral
2025-07-01 19:37:12,neutral
2025-07-01 19:37:13,neutral
2025-07-01 19:37:13,neutral
2025-07-01 19:37:13,neutral
2025-07-01 19:37:13,neutral
2025-07-01 19:37:14,neutral
2025-07-01 19:37:14,neutral
2025-07-01 19:37:14,neutral
2025-07-01 19:37:15,neutral
2025-07-01 19:37:15,neutral
2025-07-01 19:37:15,neutral
2025-07-01 19:37:15,neutral
2025-07-01 19:37:16,happy
2025-07-01 19:37:16,neutral
2025-07-01 19:37:16,neutral
2025-07-01 19:37:17,angry
2025-07-01 19:37:17,neutral
2025-07-01 19:37:17,neutral
2025-07-01 19:37:18,neutral
2025-07-01 19:37:18,neutral
2025-07-01 19:37:18,neutral
2025-07-01 19:37:18,fear
2025-07-01 19:37:19,neutral
2025-07-01 19:37:19,neutral
2025-07-01 19:37:19,neutral
2025-07-01 19:37:20,neutral
2025-07-01 19:37:20,neutral
2025-07-01 19:37:20,neutral
2025-07-01 19:37:21,neutral
2025-07-01 19:37:21,neutral
2025-07-01 19:37:21,neutral
2025-07-30 10:39:15,angry
2025-07-30 10:39:15,sad
2025-07-30 10:39:15,sad
2025-07-30 10:39:15,sad
2025-07-30 10:39:15,sad
2025-07-30 10:39:15,sad
2025-07-30 10:39:16,sad
2025-07-30 10:39:16,sad
2025-07-30 10:39:16,sad
2025-07-30 10:39:16,neutral
2025-07-30 10:39:16,neutral
2025-07-30 10:39:16,sad
2025-07-30 10:39:17,neutral
2025-07-30 10:39:17,neutral
2025-07-30 10:39:17,neutral
2025-07-30 10:39:17,neutral
2025-07-30 10:39:17,neutral
2025-07-30 10:39:17,neutral
2025-07-30 10:39:18,neutral
2025-07-30 10:39:18,neutral
2025-07-30 10:39:18,neutral
2025-07-30 10:39:18,neutral
2025-07-30 10:39:18,neutral
2025-07-30 10:39:18,neutral
2025-07-30 10:39:19,neutral
2025-07-30 10:39:19,sad
2025-07-30 10:39:19,happy
2025-07-30 10:39:19,happy
2025-07-30 10:39:19,happy
2025-07-30 10:39:19,happy
2025-07-30 10:39:20,happy
2025-07-30 10:39:20,happy
2025-07-30 10:39:20,happy
2025-07-30 10:39:20,happy
2025-07-30 10:39:20,happy
2025-07-30 10:39:20,neutral
2025-07-30 10:39:21,neutral
2025-07-30 10:39:21,neutral
2025-07-30 10:39:21,neutral
2025-07-30 10:39:21,neutral
2025-07-30 10:39:21,neutral
2025-07-30 10:39:21,neutral
2025-07-30 10:39:22,neutral
2025-07-30 10:39:22,neutral
2025-07-30 10:39:22,neutral
2025-07-30 10:39:22,neutral
2025-07-30 10:39:22,neutral
2025-07-30 10:39:23,neutral
2025-07-30 10:39:23,neutral
2025-07-30 10:39:23,neutral
2025-07-30 10:39:23,neutral
2025-07-30 10:39:23,neutral
2025-07-30 10:39:24,neutral
2025-07-30 10:39:24,neutral
2025-07-30 10:39:24,neutral
2025-07-30 10:39:25,neutral
2025-07-30 10:39:25,neutral
2025-07-30 10:39:25,neutral
2025-07-30 10:39:25,neutral
2025-07-30 10:39:25,neutral
2025-07-30 10:39:26,neutral
2025-07-30 10:39:26,neutral
2025-07-30 10:39:26,neutral
2025-07-30 10:39:26,neutral
2025-07-30 10:39:27,neutral
2025-07-30 10:39:27,neutral
2025-07-30 10:39:27,neutral
2025-07-30 10:39:28,neutral
2025-07-30 10:39:28,neutral
2025-07-30 10:39:28,neutral
2025-07-30 10:39:28,neutral
2025-07-30 10:39:29,neutral
2025-07-30 10:39:29,neutral
2025-07-30 10:39:29,neutral
2025-07-30 10:39:30,neutral
2025-07-30 10:39:30,neutral
2025-07-30 10:39:30,neutral
2025-07-30 10:39:31,surprise
2025-07-30 10:39:31,neutral
2025-07-30 10:39:31,surprise
2025-07-30 10:39:32,neutral
2025-07-30 10:39:32,neutral
2025-07-30 10:39:32,neutral
2025-07-30 10:39:32,neutral
2025-07-30 10:39:33,neutral
2025-07-30 10:39:33,neutral
2025-07-30 10:39:33,neutral
2025-07-30 10:39:34,neutral
2025-07-30 10:39:34,neutral
2025-07-30 10:39:34,sad
2025-07-30 10:39:34,happy
2025-07-30 10:39:34,happy
2025-07-30 10:39:35,happy
2025-07-30 10:39:35,happy
2025-07-30 10:39:35,happy
2025-07-30 10:39:35,happy
2025-07-30 10:39:35,happy
2025-07-30 10:39:36,neutral
2025-07-30 10:39:36,neutral
2025-07-30 10:39:36,neutral
2025-07-30 10:39:36,neutral
2025-07-30 10:39:37,neutral
2025-07-30 10:39:37,neutral
2025-07-30 10:39:37,neutral
2025-07-30 10:39:38,neutral
2025-07-30 10:39:38,neutral
2025-07-30 10:39:38,angry
2025-07-30 10:39:38,neutral
2025-07-30 10:39:39,sad
2025-07-30 10:39:39,neutral
2025-07-30 10:39:39,neutral
2025-07-30 10:39:39,neutral
2025-07-30 10:39:40,neutral
2025-07-30 10:39:40,neutral
2025-07-30 10:39:40,neutral
2025-07-30 10:39:40,neutral
2025-07-30 10:39:41,neutral
